Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,879,31-1-2024,772,AMS,BLR,CABIN0D,51
KL,871,24-1-2024,772,AMS,DEL,CABIN0C,114
KL,661,9/3/2024,772,AMS,IAH,CABIN0B,35
KL,879,20-1-2024,772,AMS,BLR,CABIN0C,109
KL,855,28-1-2024,772,AMS,ICN,CABIN0D,55
KL,855,18-3-2024,772,AMS,ICN,CABIN0A,34
KL,855,25-3-2024,772,AMS,ICN,CABIN0B,38
KL,855,24-2-2024,772,AMS,ICN,CABIN0A,33
KL,855,14-1-2024,772,AMS,ICN,CABIN0C,56
KL,879,6/3/2024,772,AMS,BLR,CABIN0E,39
KL,661,28-2-2024,772,AMS,IAH,JUMPSEAT,1
KL,879,26-1-2024,772,AMS,BLR,CABIN0C,115
KL,855,21-2-2024,772,AMS,ICN,CABIN0A,28
KL,855,11/1/2024,772,AMS,ICN,CABIN0E,71
KL,855,28-2-2024,772,AMS,ICN,CABIN0B,40
KL,879,23-2-2024,772,AMS,BLR,CABIN0C,35
KL,855,8/1/2024,772,AMS,ICN,CABIN0C,58
KL,835,22-1-2024,772,AMS,SIN,CABIN0E,17
KL,855,7/2/2024,772,AMS,ICN,CABIN0B,38
KL,855,26-2-2024,772,AMS,ICN,CABIN0C,99
KL,835,6/3/2024,772,AMS,DPS,CABIN0E,57
KL,835,22-1-2024,772,SIN,DPS,CABIN0B,24
KL,601,8/2/2024,772,AMS,LAX,CABIN0B,31
KL,835,4/2/2024,772,SIN,DPS,CABIN0C,114
KL,835,21-2-2024,772,AMS,SIN,CABIN0C,64
KL,855,8/3/2024,772,AMS,ICN,CABIN0E,73
KL,661,23-3-2024,772,AMS,IAH,CABIN0E,73
KL,601,13-2-2024,772,AMS,LAX,CABIN0D,41
KL,835,14-2-2024,772,SIN,DPS,CABIN0E,73
KL,855,18-3-2024,772,AMS,ICN,CABIN0C,115
KL,661,29-3-2024,772,AMS,IAH,CABIN0A,34
KL,835,7/1/2024,772,AMS,SIN,CABIN0C,57
KL,835,6/3/2024,772,AMS,SIN,JUMPSEAT,4
KL,661,23-3-2024,772,AMS,IAH,CABIN0C,113
KL,855,1/3/2024,772,AMS,ICN,CABIN0C,112
KL,601,4/1/2024,772,AMS,LAX,CABIN0A,34
KL,855,29-3-2024,772,AMS,ICN,CABIN0C,116
KL,879,27-3-2024,772,AMS,BLR,CABIN0C,66
KL,855,10/1/2024,772,AMS,ICN,CABIN0C,107
KL,855,13-1-2024,772,AMS,ICN,CABIN0D,53
KL,661,13-1-2024,772,AMS,IAH,CABIN0A,34
KL,871,16-2-2024,772,AMS,DEL,CABIN0B,36
KL,835,10/1/2024,772,AMS,DPS,CABIN0E,37
KL,855,20-1-2024,772,AMS,ICN,CABIN0D,56
KL,601,13-2-2024,772,AMS,LAX,CABIN0B,26
KL,835,31-1-2024,772,AMS,SIN,JUMPSEAT,3
KL,855,3/1/2024,772,AMS,ICN,CABIN0C,77
KL,879,15-3-2024,772,AMS,BLR,CABIN0E,45
KL,855,22-2-2024,772,AMS,ICN,CABIN0A,20
KL,855,29-1-2024,772,AMS,ICN,CABIN0A,28
KL,855,18-2-2024,772,AMS,ICN,CABIN0D,53
KL,855,26-2-2024,772,AMS,ICN,CABIN0D,53
KL,855,28-3-2024,772,AMS,ICN,CABIN0B,34
KL,855,7/2/2024,772,AMS,ICN,CABIN0E,73
KL,879,17-2-2024,772,AMS,BLR,CABIN0D,52
KL,835,15-1-2024,772,SIN,DPS,CABIN0B,30
KL,879,9/2/2024,772,AMS,BLR,CABIN0A,28
KL,855,1/1/2024,772,AMS,ICN,CABIN0C,101
KL,835,15-1-2024,772,AMS,SIN,CABIN0E,19
KL,855,6/3/2024,772,AMS,ICN,CABIN0E,73
KL,661,28-2-2024,772,AMS,IAH,CABIN0A,32
KL,661,28-3-2024,772,AMS,IAH,CABIN0B,22
KL,855,29-2-2024,772,AMS,ICN,CABIN0C,109
KL,835,7/1/2024,772,SIN,DPS,CABIN0E,34
KL,871,2/2/2024,772,AMS,DEL,CABIN0D,56
KL,661,5/1/2024,772,AMS,IAH,CABIN0D,56
KL,879,9/2/2024,772,AMS,BLR,CABIN0E,72
KL,835,19-3-2024,77W,SIN,DPS,CABIN0D,62
KL,835,26-1-2024,77W,AMS,DPS,CABIN0D,41
KL,835,25-3-2024,77W,AMS,SIN,CABIN0B,11
KL,871,25-3-2024,77W,AMS,DEL,CABIN0B,15
KL,871,9/1/2024,77W,AMS,DEL,CABIN0E,60
KL,835,25-2-2024,77W,AMS,SIN,CABIN0B,22
KL,835,16-1-2024,77W,SIN,DPS,CABIN0G,49
KL,835,19-3-2024,77W,AMS,SIN,CABIN0D,25
KL,835,27-3-2024,77W,SIN,DPS,CABIN0D,80
KL,871,27-2-2024,77W,AMS,DEL,CABIN0D,78
KL,871,11/3/2024,77W,AMS,DEL,CABIN0C,38
KL,835,13-1-2024,77W,AMS,DPS,CABIN0A,2
KL,835,19-2-2024,77W,AMS,DPS,CABIN0D,34
KL,835,30-3-2024,77W,AMS,SIN,CABIN0E,21
KL,835,6/1/2024,77W,SIN,DPS,CABIN0A,17
KL,835,9/3/2024,77W,SIN,DPS,CABIN0G,64
KL,835,21-3-2024,77W,AMS,SIN,CABIN0A,25
KL,835,13-1-2024,77W,AMS,SIN,CABIN0A,33
KL,835,5/3/2024,77W,SIN,DPS,CABIN0D,67
KL,835,8/3/2024,77W,AMS,SIN,JUMPSEAT,2
KL,835,17-3-2024,77W,AMS,SIN,CABIN0G,22
KL,835,27-1-2024,77W,AMS,SIN,CABIN0B,16
KL,835,23-1-2024,77W,SIN,DPS,CABIN0E,60
KL,855,23-2-2024,772,AMS,ICN,CABIN0A,34
