ACType,TakeOffFuel,FuelIndex
789,44312,6.794216
789,44632,6.651176
789,44952,6.502056
789,45272,6.352296
789,45592,6.201896
789,45912,6.050856
789,46232,5.899176
789,46552,5.746856
789,46872,5.593896
789,47192,5.440296
789,47512,5.286056
789,47832,5.131176
789,48152,4.975656
789,48472,4.819496
789,48792,4.662696
789,49112,4.505256
789,49432,4.347176
789,49752,4.196616
789,50072,4.037416
789,50392,3.877576
789,50712,3.717096
789,51032,3.564776
789,51352,3.421096
789,51672,3.277416
789,51992,3.133736
789,52312,2.990056
789,52632,2.836776
789,52952,2.692936
789,53272,2.549096
789,53592,2.405256
789,53912,2.261416
789,54232,2.117576
789,54552,1.963176
789,54872,1.819176
789,55192,1.675176
789,55512,1.531176
789,55832,1.387176
789,56152,1.243176
789,56472,1.087656
789,56792,0.943496
789,57112,0.799336
789,57432,0.655176
789,57752,0.511016
789,58072,0.366856
789,58392,0.222696
789,58712,0.065896
789,59032,-0.07842
789,59352,-0.22274
789,59672,-0.36706
789,59992,-0.51138
789,60312,-0.6557
789,60632,-0.80002
789,60952,-0.94434
789,61272,-1.07474
789,61592,-1.2189
789,61912,-1.36306
789,62232,-1.49282
789,62552,-1.63682
789,62872,-1.78082
789,63192,-1.92482
789,63512,-2.05378
789,63832,-2.19762
789,64152,-2.34146
789,64472,-2.46978
789,64792,-2.61346
789,65112,-2.75714
789,65432,-2.88482
789,65752,-3.02834
789,66072,-3.17186
789,66392,-3.2989
789,66712,-3.44226
789,67032,-3.58562
789,67352,-3.72898
789,67672,-3.85522
789,67992,-3.99842
789,68312,-4.14162
789,68632,-4.26722
789,68952,-4.41026
789,69272,-4.5533
789,69592,-4.67826
789,69912,-4.82114
789,70232,-4.96402
789,70552,-5.08834
789,70872,-5.23106
789,71192,-5.37378
789,71512,-5.5165
789,71832,-5.64002
789,72152,-5.78258
789,72472,-5.92514
789,72792,-6.0677
789,73112,-6.19042
789,73432,-6.33282
789,73752,-6.47522
789,74072,-6.61762
789,74392,-6.73954
789,74712,-6.88178
789,75032,-7.02402
789,75352,-7.16626
789,75672,-7.28738
789,75992,-7.42946
789,76312,-7.57154
789,76632,-7.71362
789,76952,-7.83394
789,77272,-7.97586
789,77592,-8.11778
789,77912,-8.2597
789,78232,-8.40162
789,78552,-8.52098
789,78872,-8.66274
789,79192,-8.8045
789,79512,-8.94626
789,79832,-9.06482
789,80152,-9.20642
789,80472,-9.34802
789,80792,-9.48962
789,81112,-9.60738
789,81432,-9.74882
789,81752,-9.89026
789,82072,-10.0317
789,82392,-10.1487
789,82712,-10.2899
789,83032,-10.4312
789,83352,-10.5725
789,83672,-10.7138
789,83992,-10.8551
789,84312,-10.9963
789,84632,-11.1376
789,84952,-11.2789
789,85272,-11.4461
789,85592,-11.5875
789,85912,-11.729
789,86232,-11.8704
789,86552,-12.0119
789,86872,-12.1533
789,87192,-12.2947
789,87512,-12.4362
789,87832,-12.5776
789,88152,-12.7191
789,88472,-12.8605
789,88792,-13.0019
789,89112,-13.1434
789,89432,-13.2848
789,89752,-13.4263
789,90072,-13.5677
789,90392,-13.7091
789,90712,-13.8792
789,91032,-14.0208
789,91352,-14.1624
789,91672,-14.304
789,91992,-14.4456
789,92312,-14.5872
789,92632,-14.7288
789,92952,-14.8704
789,93272,-15.012
789,93592,-15.1536
789,93912,-15.2952
789,94232,-15.4368
789,94552,-15.609
789,94872,-15.7507
789,95192,-15.8925
789,95512,-16.0343
789,95832,-16.2072
789,96152,-16.3491
789,96472,-16.4911
789,96792,-16.6647
789,97112,-16.8067
789,97432,-16.9488
789,97752,-17.0909
789,98072,-17.2653
789,98392,-17.4075
789,98712,-17.5498
789,99032,-17.692
789,99352,-17.8672
789,99672,-18.0096
789,99992,-18.152
789,100312,-18.2944
789,100632,-18.4704
789,100952,-18.613
789,101084.8,-18.6721
772,320,-0.00256
772,640,-0.01568
772,960,-0.03888
772,1280,-0.05632
772,1600,-0.0736
772,1920,-0.09312
772,2240,-0.11424
772,2560,-0.13568
772,2880,-0.15408
772,3200,-0.1696
772,3520,-0.1848
772,3840,-0.19968
772,4160,-0.21424
772,4480,-0.22848
772,4800,-0.2424
772,5120,-0.25344
772,5440,-0.26656
772,5760,-0.27648
772,6080,-0.28576
772,6400,-0.2912
772,6720,-0.29904
772,7040,-0.30624
772,7360,-0.3128
772,7680,-0.31872
772,8000,-0.32
772,8320,-0.32448
772,8640,-0.32832
772,8960,-0.33152
772,9280,-0.33408
772,9600,-0.336
772,9920,-0.33728
772,10240,-0.34304
772,10560,-0.3432
772,10880,-0.34272
772,11200,-0.3416
772,11520,-0.3456
772,11840,-0.34336
772,12160,-0.34048
772,12480,-0.33696
772,12800,-0.3392
772,13120,-0.33456
772,13440,-0.32928
772,13760,-0.33024
772,14080,-0.32384
772,14400,-0.324
772,14720,-0.31648
772,15040,-0.31584
